Locality,MinPrice,MaxPrice,AvgRent,HouseType
Electronic City Phase 2,12000,nan,12000,2BHK
Electronic City Phase 2,19000,nan,19000,3BHK
Jakkur,7200,10800,8916.67,1BHK
Jakkur,14000,18000,15833.33,2BHK
Jakkur,27000,nan,27000,3BHK
Budigere Cross,12000,19000,16760,1BHK
Budigere Cross,14000,40000,21954.55,2BHK
Budigere Cross,40000,42500,41666.67,3BHK
Hebbal,5500,12500,8733.33,1BHK
Hebbal,9500,30000,14568.42,2BHK
Hebbal,19500,32500,24000,3BHK
Horamavu,5000,12000,8352.38,1BHK
Horamavu,8000,65000,17243.48,2BHK
Horamavu,18000,40000,28683.33,3BHK
Ramamurthy Nagar,4500,20000,8820.45,1BHK
Ramamurthy Nagar,7000,20000,13716.22,2BHK
Ramamurthy Nagar,22000,nan,22000,3BHK
Rajajinagar,4000,16500,9218.18,1BHK
Rajajinagar,11000,24000,17506.45,2BHK
Rajajinagar,15500,38000,25363.64,3BHK
Vignana Kendra,6000,nan,6000,1BHK
Vignana Kendra,nan,nan,-,2BHK
Vignana Kendra,32000,nan,32000,3BHK
Harlur,8000,13000,11285.71,1BHK
Harlur,8000,25000,17750,2BHK
Harlur,43000,nan,43000,3BHK
Banashankari,4800,40000,9395.92,1BHK
Banashankari,7000,25000,13393.24,2BHK
Banashankari,12000,53000,22531.25,3BHK
Murugeshpalya,6000,18000,10385.54,1BHK
Murugeshpalya,9000,22000,15757.58,2BHK
Murugeshpalya,19000,35000,24000,3BHK
RR Nagar,3000,12000,8276.32,1BHK
RR Nagar,10000,30000,16835.71,2BHK
RR Nagar,15000,35000,24258.33,3BHK
Banaswadi,7000,15000,10544.44,1BHK
Banaswadi,10000,28000,17777.78,2BHK
Banaswadi,18000,35000,26700,3BHK
Narayanapura on Hennur Main Road,10000,nan,10000,1BHK
Narayanapura on Hennur Main Road,15000,35000,24284.48,2BHK
Narayanapura on Hennur Main Road,18500,50000,30867.92,3BHK
Chamrajpet,6000,nan,6000,1BHK
Chamrajpet,14000,nan,14000,2BHK
Chamrajpet,18000,nan,18000,3BHK
Vidyaranyapura,3500,16000,7333.33,1BHK
Vidyaranyapura,6200,16000,10980,2BHK
Vidyaranyapura,16000,27000,19666.67,3BHK
Battarahalli,4500,11000,735.71,1BHK
Battarahalli,6000,18000,12954.55,2BHK
Battarahalli,18000,35000,22142.86,3BHK
Jayanagar,5000,13000,8275,1BHK
Jayanagar,12000,32000,20119.05,2BHK
Jayanagar,20000,27000,23000,3BHK
CV Raman Nagar,5000,16000,10619.05,1BHK
CV Raman Nagar,10000,20000,15400,2BHK
CV Raman Nagar,20000,nan,20000,3BHK
Bommanahalli,4450,13500,9807.64,1BHK
Bommanahalli,8500,20000,15219.04,2BHK
Bommanahalli,32900,nan,32900,3BHK
Talaghattapura,7000,nan,7000,1BHK
Talaghattapura,9500,13000,11250,2BHK
Talaghattapura,18000,20000,19000,3BHK
Sarjapur Road Post Railway Crossing,18500,32000,24125,1BHK
Sarjapur Road Post Railway Crossing,11000,nan,11000,2BHK
Sarjapur Road Post Railway Crossing,50000,75000,62500,3BHK
Kannur on Thanisandra Main Road,8500,nan,8500,1BHK
Kannur on Thanisandra Main Road,13100,35000,2250.98,2BHK
Kannur on Thanisandra Main Road,17000,1.2 L,33947.54,3BHK
Kumbalgodu,7000,nan,7000,1BHK
Kumbalgodu,8 L,nan,800000,2BHK
Kumbalgodu,13000,35000,19575,3BHK
Hennur,4000,13600,10215.38,1BHK
Hennur,10000,25000,14040,2BHK
Hennur,16000,27000,21000,3BHK
Kasavanahalli,4000,19000,14296.3,1BHK
Kasavanahalli,13500,21500,17557.14,2BHK
Kasavanahalli,30000,33500,31750,3BHK
Kalyan Nagar,4000,15000,8866.67,1BHK
Kalyan Nagar,14000,25000,19288.46,2BHK
Kalyan Nagar,21000,50000,36884.62,3BHK
Dasarahalli on Tumkur Road,nan,nan,-,1BHK
Dasarahalli on Tumkur Road,5500,nan,5500,2BHK
Dasarahalli on Tumkur Road,20000,30000,25550,3BHK
Bagaluru Near Yelahanka,nan,nan,-,1BHK
Bagaluru Near Yelahanka,15000,nan,15000,2BHK
Bagaluru Near Yelahanka,25000,30000,27500,3BHK
Nagarbhavi,6000,8000,7000,1BHK
Nagarbhavi,7000,20000,12375,2BHK
Nagarbhavi,15000,30000,26142.86,3BHK
Brookefield,7000,21000,14145.45,1BHK
Brookefield,13000,30000,20476.19,2BHK
Brookefield,24000,45000,34333.33,3BHK
Hoskote,5500,6500,6075,1BHK
Hoskote,9500,nan,9500,2BHK
Hoskote,15000,21000,18000,3BHK
JP Nagar Phase 7,8000,nan,8000,1BHK
JP Nagar Phase 7,13000,18500,16100,2BHK
JP Nagar Phase 7,16000,48000,34362.5,3BHK
Hosa Road,9500,20000,13833.33,1BHK
Hosa Road,12500,nan,12500,2BHK
Hosa Road,15000,38000,25347.83,3BHK
Hulimavu,6000,27000,10300,1BHK
Hulimavu,11000,17800,14810,2BHK
Hulimavu,17000,24000,20333.33,3BHK
Gottigere,6500,15000,1062.38,1BHK
Gottigere,8000,18000,11600,2BHK
Gottigere,13000,40000,20800,3BHK
Jigani,6000,9500,7700,1BHK
Jigani,8200,14000,10775,2BHK
Jigani,20000,nan,20000,3BHK
Dasarahalli on Tumkur Road,6000,nan,6000,1BHK
Dasarahalli on Tumkur Road,5500,nan,5500,2BHK
Dasarahalli on Tumkur Road,22500,45000,26611.11,3BHK
Kaggadasapura,5000,14000,8278.22,1BHK
Kaggadasapura,10000,29000,16203.21,2BHK
Kaggadasapura,17500,nan,17500,3BHK
JP Nagar Phase 7,8000,10000,9000,1BHK
JP Nagar Phase 7,13000,18500,16100,2BHK
JP Nagar Phase 7,16000,45000,34520.63,3BHK
Jalahalli,6300,nan,6300,1BHK
Jalahalli,10000,13000,11000,2BHK
Jalahalli,27000,nan,27000,3BHK
Vijayanagar,4500,13000,876.32,1BHK
Vijayanagar,8750,30000,16410.71,2BHK
Vijayanagar,5200,50000,26450,3BHK
Hoskote,5800,6500,6150,1BHK
Hoskote,10000,nan,10000,2BHK
Hoskote,10000,21000,15333.33,3BHK
Bommanahalli,6000,13500,8718.75,1BHK
Bommanahalli,8500,20000,14916.67,2BHK
Bommanahalli,20000,22000,21000,3BHK
Kodigehalli,9000,11000,10000,1BHK
Kodigehalli,12000,nan,12000,2BHK
Kodigehalli,30000,nan,30000,3BHK
Chikkanayakanahalli at Off Sarjapur,17000,nan,17000,1BHK
Chikkanayakanahalli at Off Sarjapur,10000,70000,24111.11,2BHK
Chikkanayakanahalli at Off Sarjapur,22000,35000,2633.33,3BHK
Yeshwantpur,3500,40000,9454.55,1BHK
Yeshwantpur,11000,20000,15500,2BHK
Yeshwantpur,18000,50000,34400,3BHK
Kengeri,4000,8000,5500,1BHK
Kengeri,7300,nan,7300,2BHK
Kengeri,12500,30000,19964.29,3BHK
Vinayakanagar,nan,nan,-,1BHK
Vinayakanagar,6500,nan,6500,2BHK
Vinayakanagar,15000,nan,15000,3BHK
Hulimavu,6000,27000,1062.5,1BHK
Hulimavu,11000,22000,16928.57,2BHK
Hulimavu,17000,24000,20333.33,3BHK
Konanakunte,4000,9000,6575,1BHK
Konanakunte,10000,18000,13775,2BHK
Konanakunte,35000,nan,35000,3BHK
Sarjapur Road Wipro To Railway Crossing,13500,23000,18833.33,1BHK
Sarjapur Road Wipro To Railway Crossing,23000,nan,23000,2BHK
Sarjapur Road Wipro To Railway Crossing,20000,45000,30867.65,3BHK
Kadugodi,3000,11000,7470.77,1BHK
Kadugodi,10120,12500,11540,2BHK
Kadugodi,13500,50000,27800,3BHK
Kengeri Satellite Town,3000,8000,5270.83,1BHK
Kengeri Satellite Town,7000,15000,10722.22,2BHK
Kengeri Satellite Town,13000,22000,13613.64,3BHK
New Thippasandra,6000,20000,14682.93,1BHK
New Thippasandra,10000,26000,17794.12,2BHK
New Thippasandra,28000,nan,28000,3BHK
Kogilu,7000,8500,7750,1BHK
Kogilu,10500,16000,13833.33,2BHK
Kogilu,15500,35000,25166.67,3BHK
Kuvempu Layout on Hennur Main Road,nan,nan,-,1BHK
Kuvempu Layout on Hennur Main Road,16000,nan,16000,2BHK
Kuvempu Layout on Hennur Main Road,22000,48000,29125,3BHK
Kasturi Nagar,4499,12750,9621.29,1BHK
Kasturi Nagar,11000,24000,18235.29,2BHK
Kasturi Nagar,20000,65000,33142.86,3BHK
Singasandra,5300,15000,9514.29,1BHK
Singasandra,12000,17500,14113.64,2BHK
Singasandra,17500,45000,24980,3BHK
Yelahanka New Town,5000,8500,6618,1BHK
Yelahanka New Town,8500,18000,11950,2BHK
Yelahanka New Town,17000,nan,17000,3BHK
Doddaballapur,6000,nan,6000,1BHK
Doddaballapur,15000,nan,15000,2BHK
Doddaballapur,75000,nan,75000,3BHK
Kanakapura Road Beyond Nice Ring Road,10000,11000,10500,1BHK
Kanakapura Road Beyond Nice Ring Road,8000,22000,16000,2BHK
Kanakapura Road Beyond Nice Ring Road,12500,28000,20653.85,3BHK
Richmond Town,25000,nan,25000,1BHK
Richmond Town,10000,38000,27666.67,2BHK
Richmond Town,58000,70000,64000,3BHK
Kanakapura,5300,nan,5300,1BHK
Kanakapura,6000,nan,6000,2BHK
Kanakapura,25000,38000,30250,3BHK
Avalahalli Off Sarjapur Road,15000,nan,15000,1BHK
Avalahalli Off Sarjapur Road,18000,nan,18000,2BHK
Avalahalli Off Sarjapur Road,26000,nan,26000,3BHK
ITPL,10500,13500,12000,1BHK
ITPL,14000,40000,22826.49,2BHK
ITPL,20000,75000,40469.39,3BHK
Domlur Layout,2500,20000,12246,1BHK
Domlur Layout,14000,25750,21671.05,2BHK
Domlur Layout,45000,48000,46000,3BHK
Frazer Town,10000,nan,10000,1BHK
Frazer Town,15000,1.3 L,38142.86,2BHK
Frazer Town,40000,45000,41666.67,3BHK
Volagerekallahalli,nan,nan,-,1BHK
Volagerekallahalli,11000,14000,12500,2BHK
Volagerekallahalli,14000,nan,14000,3BHK
Chikkagubbi on Hennur Main Road,nan,nan,-,1BHK
Chikkagubbi on Hennur Main Road,20000,25000,22125,2BHK
Chikkagubbi on Hennur Main Road,23000,32000,27379.34,3BHK
Hoodi,6500,15000,8443.75,1BHK
Hoodi,8500,18000,13550,2BHK
Hoodi,23000,40000,30782.65,3BHK
Bilekahalli,5000,13750,8495.45,1BHK
Bilekahalli,10000,28000,15371.43,2BHK
Bilekahalli,25000,40000,32500,3BHK
Sadduguntepalya,8000,17700,9911.11,1BHK
Sadduguntepalya,10000,17500,15312.5,2BHK
Sadduguntepalya,31000,nan,31000,3BHK
Sahakar Nagar,nan,nan,-,1BHK
Sahakar Nagar,17000,nan,17000,2BHK
Sahakar Nagar,27000,1.1 L,44411.11,3BHK
Kumaraswamy Layout,5000,12500,8773.08,1BHK
Kumaraswamy Layout,9500,38000,15538.46,2BHK
Kumaraswamy Layout,13000,19000,16666.67,3BHK
BTM Layout 2nd Stage,5000,17000,9685.71,1BHK
BTM Layout 2nd Stage,14500,23000,18714.29,2BHK
BTM Layout 2nd Stage,23000,50000,32400.2,3BHK
Medahalli,5500,9000,7222.22,1BHK
Medahalli,9500,15000,11428.57,2BHK
Medahalli,13000,nan,13000,3BHK
Bagalur,nan,nan,-,1BHK
Bagalur,nan,nan,-,2BHK
Bagalur,2.2 L,nan,220000,3BHK
HBR Layout,6500,15000,11179.93,1BHK
HBR Layout,10000,24000,16884.62,2BHK
HBR Layout,20000,24000,21500,3BHK
Basavanagudi,2800,20000,9525,1BHK
Basavanagudi,8000,28000,16333.33,2BHK
Basavanagudi,22000,40000,32000,3BHK
Basaveswarnagar,7000,20000,10100,1BHK
Basaveswarnagar,10000,24000,18491,2BHK
Basaveswarnagar,16000,38000,26428.57,3BHK
Bagaluru,nan,nan,-,1BHK
Bagaluru,20000,nan,20000,2BHK
Bagaluru,12500,nan,12500,3BHK
Uttarahalli Hobli,4300,7200,5750,1BHK
Uttarahalli Hobli,11000,22000,14800,2BHK
Uttarahalli Hobli,18000,32000,25000,3BHK
Electronic City Phase II,2000,8500,683.33,1BHK
Electronic City Phase II,10000,nan,10000,2BHK
Electronic City Phase II,18000,nan,18000,3BHK
Munnekollal,5500,15000,8135,1BHK
Munnekollal,8500,18000,13538.46,2BHK
Munnekollal,24000,nan,24000,3BHK
Kudlu,8000,10500,9500,1BHK
Kudlu,9500,18000,14125,2BHK
Kudlu,17000,nan,17000,3BHK
Kalkere,7000,7500,7250,1BHK
Kalkere,9500,17000,13500,2BHK
Kalkere,nan,nan,-,3BHK
Ejipura,7000,11000,8285.71,1BHK
Ejipura,10000,28000,17555.56,2BHK
Ejipura,50000,52000,51000,3BHK
Ulsoor,5000,15000,10200,1BHK
Ulsoor,12000,35000,19166.67,2BHK
Ulsoor,25000,40000,32500,3BHK
bidrahalli,7500,8000,7750,1BHK
bidrahalli,9000,12000,10000,2BHK
bidrahalli,nan,nan,-,3BHK
byatarayanapura,15000,nan,15000,1BHK
byatarayanapura,15000,28000,19875,2BHK
byatarayanapura,30000,60000,45000,3BHK
NRI Layout,6000,8500,6640,1BHK
NRI Layout,11000,33000,16312.5,2BHK
NRI Layout,20000,nan,20000,3BHK
JP Nagar Phase 8,10000,nan,10000,1BHK
JP Nagar Phase 8,19000,nan,19000,2BHK
JP Nagar Phase 8,16500,25000,20214.29,3BHK
Malur,nan,nan,-,1BHK
Malur,10000,13900,11950,2BHK
Malur,nan,nan,-,3BHK
Budigere,nan,nan,-,1BHK
Budigere,nan,nan,-,2BHK
Budigere,23000,nan,23000,3BHK
Kartik Nagar,7000,12000,9416.67,1BHK
Kartik Nagar,10000,22000,15311.11,2BHK
Kartik Nagar,25000,nan,25000,3BHK
Carmelaram,3950,8000,6650,1BHK
Carmelaram,15000,16000,15750,2BHK
Carmelaram,27000,nan,27000,3BHK
Panathur,8000,10000,8666.67,1BHK
Panathur,16000,26100,21050,2BHK
Panathur,18792,29500,23323,3BHK
gubbalala,nan,nan,-,1BHK
gubbalala,14000,nan,14000,2BHK
gubbalala,nan,nan,-,3BHK
Vibhutipura,8000,11000,9785.71,1BHK
Vibhutipura,9500,16000,12800,2BHK
Vibhutipura,26000,46000,32000,3BHK
JP Nagar Phase 9,8000,14500,10875,1BHK
JP Nagar Phase 9,22000,23000,22500,2BHK
JP Nagar Phase 9,25000,nan,25000,3BHK
Anagalapura Near Hennur Main Road,12000,nan,12000,1BHK
Anagalapura Near Hennur Main Road,15000,nan,15000,2BHK
Anagalapura Near Hennur Main Road,65000,70000,67500,3BHK
Malleswaram,5000,15000,9285.71,1BHK
Malleswaram,8000,19000,13125,2BHK
Malleswaram,25000,nan,25000,3BHK
Adugodi,7000,13500,9700,1BHK
Adugodi,14500,19500,16333.33,2BHK
Adugodi,23000,1.5 L,8674.07,3BHK
Arakere,4500,13000,8583.33,1BHK
Arakere,10000,20000,13365.71,2BHK
Arakere,20000,70000,37500,3BHK
Bannerughatta,4000,8000,5750,1BHK
Bannerughatta,14000,16000,15333.33,2BHK
Bannerughatta,27000,30000,28500,3BHK
Margondanahalli,6500,7000,6750,1BHK
Margondanahalli,10000,13000,11500,2BHK
Margondanahalli,17000,nan,17000,3BHK
Sir M V Nagar,5000,15000,827.27,1BHK
Sir M V Nagar,7500,19000,12766.67,2BHK
Sir M V Nagar,15000,22000,17416.67,3BHK
Akshayanagar,6500,14000,10800,1BHK
Akshayanagar,8000,20000,15000,2BHK
Akshayanagar,20000,nan,20000,3BHK
Gunjur,5200,7500,6733.33,1BHK
Gunjur,14000,nan,14000,2BHK
Gunjur,nan,nan,-,3BHK
Annapurneshwari Nagar,5000,8500,7166.67,1BHK
Annapurneshwari Nagar,11500,16500,14642.86,2BHK
Annapurneshwari Nagar,35000,nan,35000,3BHK
Ramagondanahalli,7000,22000,14500,1BHK
Ramagondanahalli,15000,25000,20119.05,2BHK
Ramagondanahalli,35000,1.2 L,92500,3BHK
Anjanapura,7000,nan,7000,1BHK
Anjanapura,8500,11000,9750,2BHK
Anjanapura,18000,nan,18000,3BHK
Kodihalli,7000,16000,10368.18,1BHK
Kodihalli,10500,50000,22705.88,2BHK
Kodihalli,23000,26000,24500,3BHK
JP Nagar Phase 5,11000,nan,11000,1BHK
JP Nagar Phase 5,14000,nan,14000,2BHK
JP Nagar Phase 5,19200,nan,19200,3BHK
Mallathahalli,10000,4.5 L,230000,1BHK
Mallathahalli,10500,20000,14333.33,2BHK
Mallathahalli,25000,28000,26000,3BHK
Nagavara,6200,13000,8740,1BHK
Nagavara,9500,28000,15500,2BHK
Nagavara,13500,60000,27166.67,3BHK
Bannerghatta,15000,nan,15000,1BHK
Bannerghatta,14000,nan,14000,2BHK
Bannerghatta,20000,40000,26894.74,3BHK
Bidadi,3000,nan,3000,1BHK
Bidadi,12000,nan,12000,2BHK
Bidadi,nan,nan,-,3BHK
Nayandahalli,4700,7000,5925,1BHK
Nayandahalli,12100,14000,1333.33,2BHK
Nayandahalli,27000,50000,38666.67,3BHK
hebbal kempapura,6000,21000,11957.14,1BHK
hebbal kempapura,10000,20000,15566.67,2BHK
hebbal kempapura,10000,65000,29666.67,3BHK
Nagawara,nan,nan,-,1BHK
Nagawara,24000,nan,24000,2BHK
Nagawara,18000,1.6 L,63145.05,3BHK
Sarjapur Road,8000,nan,8000,1BHK
Sarjapur Road,19000,nan,19000,2BHK
Sarjapur Road,35000,nan,35000,3BHK
Nelamangala,6000,nan,6000,1BHK
Nelamangala,8000,40000,24666.67,2BHK
Nelamangala,nan,nan,-,3BHK
Chikkalasandra,6500,7500,6833.33,1BHK
Chikkalasandra,17000,nan,17000,2BHK
Chikkalasandra,nan,nan,-,3BHK
Bennigana Halli,6500,nan,6500,1BHK
Bennigana Halli,12500,nan,12500,2BHK
Bennigana Halli,23000,45000,30800,3BHK
Kanmanike,nan,nan,-,1BHK
Kanmanike,9000,nan,9000,2BHK
Kanmanike,nan,nan,-,3BHK
Hosur Main Road,nan,nan,-,1BHK
Hosur Main Road,nan,nan,-,2BHK
Hosur Main Road,nan,nan,-,3BHK
Kammanahalli,6000,50000,11875,1BHK
Kammanahalli,11000,26000,15642.86,2BHK
Kammanahalli,27000,nan,27000,3BHK
Jeevan Bima Nagar,8000,13000,10000,1BHK
Jeevan Bima Nagar,10000,45000,21857.14,2BHK
Jeevan Bima Nagar,20000,60000,41250,3BHK
Doddanekundi,12000,nan,12000,1BHK
Doddanekundi,14500,nan,14500,2BHK
Doddanekundi,20000,50000,30562.5,3BHK
Vasanth Nagar,nan,nan,-,1BHK
Vasanth Nagar,18000,21000,19666.67,2BHK
Vasanth Nagar,30000,2.5 L,95157.14,3BHK
Abbigere,5000,6000,5660,1BHK
Abbigere,5000,19000,12000,2BHK
Abbigere,14000,nan,14000,3BHK
Kithaganur Colony,8000,10000,9000,1BHK
Kithaganur Colony,8500,18000,13250,2BHK
Kithaganur Colony,15000,18000,16500,3BHK
Hosakerehalli,5000,7500,6250,1BHK
Hosakerehalli,12500,15000,13583.33,2BHK
Hosakerehalli,17500,18000,17750,3BHK
Wilson Garden,3500,15000,11750,1BHK
Wilson Garden,10000,25000,17107.14,2BHK
Wilson Garden,25000,27000,26000,3BHK
K C Krishna Reddy Layout,6500,nan,6500,1BHK
K C Krishna Reddy Layout,7000,17000,10800,2BHK
K C Krishna Reddy Layout,21000,nan,21000,3BHK
Sarjapur main road,nan,nan,-,1BHK
Sarjapur main road,nan,nan,-,2BHK
Sarjapur main road,nan,nan,-,3BHK
KR Puram Old Madras Road,nan,nan,-,1BHK
KR Puram Old Madras Road,13000,18000,16333.33,2BHK
KR Puram Old Madras Road,nan,nan,-,3BHK
Cooke Town,10000,nan,10000,1BHK
Cooke Town,12000,24000,18000,2BHK
Cooke Town,25000,nan,25000,3BHK
Jogupalya,8000,16000,11333.33,1BHK
Jogupalya,9000,25000,17222.22,2BHK
Jogupalya,60000,nan,60000,3BHK
R T  Nagar,6000,11000,8144.33,1BHK
R T  Nagar,11000,19000,15312.5,2BHK
R T  Nagar,26000,30000,28000,3BHK
Mathikere,5500,12500,8590.91,1BHK
Mathikere,8000,20000,13155.56,2BHK
Mathikere,18000,28000,23000,3BHK
Rayasandra,4500,9500,7000,1BHK
Rayasandra,5000,16000,10555.56,2BHK
Rayasandra,12500,nan,12500,3BHK
Kadugodi Industrial Area,4500,10500,6916.67,1BHK
Kadugodi Industrial Area,8000,12000,8666.67,2BHK
Kadugodi Industrial Area,16000,22000,19000,3BHK
seegehalli,nan,nan,-,1BHK
seegehalli,12000,nan,12000,2BHK
seegehalli,25000,nan,25000,3BHK
Doddathoguru,5000,11000,7833.33,1BHK
Doddathoguru,13000,16000,14166.67,2BHK
Doddathoguru,nan,nan,-,3BHK
Jyothi Nagar,6000,nan,6000,1BHK
Jyothi Nagar,7500,13000,9250,2BHK
Jyothi Nagar,nan,nan,-,3BHK
Suryanagar Phase I,nan,nan,-,1BHK
Suryanagar Phase I,nan,nan,-,2BHK
Suryanagar Phase I,nan,nan,-,3BHK
Kudlu Gate,7500,16000,12833.33,1BHK
Kudlu Gate,9500,12000,11166.67,2BHK
Kudlu Gate,25000,nan,25000,3BHK
Yelachanayakanapura,5000,6500,5500,1BHK
Yelachanayakanapura,nan,nan,-,2BHK
Yelachanayakanapura,nan,nan,-,3BHK
RMV,nan,nan,-,1BHK
RMV,14000,35000,24000,2BHK
RMV,55000,1.3 L,94285.71,3BHK
Lal Bahadur Shastri Nagar,5000,6000,5500,1BHK
Lal Bahadur Shastri Nagar,15000,nan,15000,2BHK
Lal Bahadur Shastri Nagar,nan,nan,-,3BHK
Devarachikkana Halli,4350,11500,8416.67,1BHK
Devarachikkana Halli,11000,17000,14333.33,2BHK
Devarachikkana Halli,26000,nan,26000,3BHK
Maruthi Sevanagar,7000,15000,10200,1BHK
Maruthi Sevanagar,9000,17500,14180,2BHK
Maruthi Sevanagar,15000,25000,17000,3BHK
RMV Extension Stage 2,7000,16000,10833.33,1BHK
RMV Extension Stage 2,20000,nan,20000,2BHK
RMV Extension Stage 2,20000,65000,42000,3BHK
Sanjaynagar,8500,nan,8500,1BHK
Sanjaynagar,20000,23000,21500,2BHK
Sanjaynagar,30000,1 L,47703.7,3BHK
Kempa Dyapanahalli,nan,nan,-,1BHK
Kempa Dyapanahalli,nan,nan,-,2BHK
Kempa Dyapanahalli,nan,nan,-,3BHK
Dargajogihalli,4500,nan,4500,1BHK
Dargajogihalli,24000,nan,24000,2BHK
Dargajogihalli,31000,35000,32533.8,3BHK
Kodipur,nan,nan,-,1BHK
Kodipur,nan,nan,-,2BHK
Kodipur,20000,nan,20000,3BHK
Lingarajapuram,6000,10500,7875,1BHK
Lingarajapuram,8000,18000,14800,2BHK
Lingarajapuram,30000,nan,30000,3BHK
Thavarekere,10000,11000,10500,1BHK
Thavarekere,7000,nan,7000,2BHK
Thavarekere,25085,nan,25085,3BHK
Kodihalli on Old Airport Road,7000,nan,7000,1BHK
Kodihalli on Old Airport Road,13000,nan,13000,2BHK
Kodihalli on Old Airport Road,25000,nan,25000,3BHK
Aavalahalli,4200,nan,4200,1BHK
Aavalahalli,6000,nan,6000,2BHK
Aavalahalli,nan,nan,-,3BHK
hongasandra bangalore,4500,7500,6575,1BHK
hongasandra bangalore,8000,17300,14107.69,2BHK
hongasandra bangalore,18000,25000,23600,3BHK
Kamala Nagar,2000,9500,5500,1BHK
Kamala Nagar,8000,12500,10642.71,2BHK
Kamala Nagar,25000,nan,25000,3BHK
Sulikunte,7000,nan,7000,1BHK
Sulikunte,8500,nan,8500,2BHK
Sulikunte,nan,nan,-,3BHK
Bommenahalli,8500,9000,8750,1BHK
Bommenahalli,15000,nan,15000,2BHK
Bommenahalli,35000,nan,35000,3BHK
Kaggalipura,nan,nan,-,1BHK
Kaggalipura,13000,nan,13000,2BHK
Kaggalipura,22000,nan,22000,3BHK
Virupakshapura,8000,nan,8000,1BHK
Virupakshapura,11000,14500,13375,2BHK
Virupakshapura,30000,35000,32500,3BHK
Sanjay Nagar,5500,13000,9375,1BHK
Sanjay Nagar,20000,nan,20000,2BHK
Sanjay Nagar,29000,40000,36333.33,3BHK
Kodathi,4500,10500,7811,1BHK
Kodathi,10000,15500,12666.67,2BHK
Kodathi,14000,34000,24000,3BHK
Shanti Nagar,12000,20000,15000,1BHK
Shanti Nagar,15000,40000,22357.14,2BHK
Shanti Nagar,55000,nan,55000,3BHK
Shivaji Nagar,8000,nan,8000,1BHK
Shivaji Nagar,25000,35000,28333.33,2BHK
Shivaji Nagar,22000,47000,34500,3BHK
Domlur,15000,16000,15666.67,1BHK
